Id,SalePrice
1461,123384.0
1462,163032.0
1463,171755.0
1464,174625.0
1465,192515.0
1466,171596.0
1467,163456.0
1468,156161.0
1469,183995.0
1470,112266.0
1471,190126.0
1472,93446.0
1473,109007.0
1474,149677.0
1475,107581.0
1476,309377.0
1477,231226.0
1478,277666.0
1479,282815.0
1480,380646.0
1481,295566.0
1482,209405.0
1483,174136.0
1484,149822.0
1485,165292.0
1486,187222.0
1487,321175.0
1488,218355.0
1489,199259.0
1490,222146.0
1491,190671.0
1492,94549.0
1493,173651.0
1494,286644.0
1495,277108.0
1496,242722.0
1497,180304.0
1498,154189.0
1499,149027.0
1500,147557.0
1501,154405.0
1502,152920.0
1503,261806.0
1504,207981.0
1505,204533.0
1506,166989.0
1507,242462.0
1508,188496.0
1509,129428.0
1510,144226.0
1511,143500.0
1512,162835.0
1513,138266.0
1514,168043.0
1515,197399.0
1516,144114.0
1517,167493.0
1518,134069.0
1519,205695.0
1520,128924.0
1521,144144.0
1522,161244.0
1523,123675.0
1524,118339.0
1525,129166.0
1526,120836.0
1527,124127.0
1528,125956.0
1529,153875.0
1530,166646.0
1531,116580.0
1532,97650.0
1533,141287.0
1534,123512.0
1535,145215.0
1536,99664.0
1537,99208.0
1538,124728.0
1539,184195.0
1540,89618.0
1541,124443.0
1542,135213.0
1543,184870.0
1544,74480.0
1545,98267.0
1546,124784.0
1547,135731.0
1548,128033.0
1549,103750.0
1550,135904.0
1551,110002.0
1552,148223.0
1553,159278.0
1554,110640.0
1555,166980.0
1556,82822.0
1557,126360.0
1558,100896.0
1559,86707.0
1560,146987.0
1561,136541.0
1562,136106.0
1563,113744.0
1564,172187.0
1565,143717.0
1566,215577.0
1567,81121.0
1568,217753.0
1569,151582.0
1570,145878.0
1571,131393.0
1572,151844.0
1573,251983.0
1574,111436.0
1575,216133.0
1576,232699.0
1577,189880.0
1578,136000.0
1579,144285.0
1580,177335.0
1581,159198.0
1582,119782.0
1583,285806.0
1584,216105.0
1585,134663.0
1586,78279.0
1587,99406.0
1588,146417.0
1589,85544.0
1590,129254.0
1591,105195.0
1592,110820.0
1593,118282.0
1594,187038.0
1595,142784.0
1596,226794.0
1597,184299.0
1598,207371.0
1599,179333.0
1600,182216.0
1601,83999.0
1602,97036.0
1603,85578.0
1604,264376.0
1605,218081.0
1606,163268.0
1607,166065.0
1608,200682.0
1609,187170.0
1610,137955.0
1611,132261.0
1612,178616.0
1613,159496.0
1614,129431.0
1615,102742.0
1616,90590.0
1617,103886.0
1618,126494.0
1619,125215.0
1620,171774.0
1621,135784.0
1622,130317.0
1623,261285.0
1624,208824.0
1625,119164.0
1626,155541.0
1627,160958.0
1628,244147.0
1629,155089.0
1630,363329.0
1631,199367.0
